Ref,Val,Package,PosX,PosY,Rot,Side
"L-AML1","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",32.418000,-48.000000,90.000000,bottom
"L-AML2","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",32.918000,-40.000000,90.000000,bottom
"L-AML3","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",67.918000,-73.500000,-90.000000,bottom
"L-AML4","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",75.418000,-82.425000,-90.000000,bottom
"L-AML5","SN74LV4051A","AM1_SOIC-16_3.9x9.9mm_P1.27mm",5.918000,-49.500000,90.000000,bottom
"L-CL1A","100n","C1_C_0402_1005Metric",7.210000,-2.625000,0.000000,bottom
"L-CL1B","4.7n","C1_C_0402_1005Metric",20.410000,-16.425000,0.000000,bottom
"L-CL2A","100n","C1_C_0402_1005Metric",26.260000,-2.625000,0.000000,bottom
"L-CL2B","4.7n","C1_C_0402_1005Metric",39.460000,-16.425000,0.000000,bottom
"L-CL3A","100n","C1_C_0402_1005Metric",45.310000,-2.625000,0.000000,bottom
"L-CL3B","4.7n","C1_C_0402_1005Metric",58.510000,-16.425000,0.000000,bottom
"L-CL4A","100n","C1_C_0402_1005Metric",64.764900,-2.531900,-2.756000,bottom
"L-CL4B","4.7n","C1_C_0402_1005Metric",77.224600,-17.003700,-2.756000,bottom
"L-CL5A","100n","C1_C_0402_1005Metric",84.547000,-3.925900,-1.630000,bottom
"L-CL5B","4.7n","C1_C_0402_1005Metric",96.232200,-19.030100,-1.630000,bottom
"L-CL6A","100n","C1_C_0402_1005Metric",103.669400,-6.060700,1.024000,bottom
"L-CL6B","4.7n","C1_C_0402_1005Metric",114.548200,-21.755700,1.024000,bottom
"L-CL7A","100n","C1_C_0402_1005Metric",122.471900,-9.054300,4.000000,bottom
"L-CL7B","4.7n","C1_C_0402_1005Metric",133.350600,-24.749400,4.000000,bottom
"L-CL8A","100n","C1_C_0402_1005Metric",10.068000,-21.675000,0.000000,bottom
"L-CL8B","4.7n","C1_C_0402_1005Metric",23.268000,-35.475000,0.000000,bottom
"L-CL9A","100n","C1_C_0402_1005Metric",33.880000,-21.675000,0.000000,bottom
"L-CL9B","4.7n","C1_C_0402_1005Metric",47.080000,-35.475000,0.000000,bottom
"L-CL10A","100n","C1_C_0402_1005Metric",52.930800,-21.675700,0.000000,bottom
"L-CL10B","4.7n","C1_C_0402_1005Metric",66.130800,-35.475700,0.000000,bottom
"L-CL11A","100n","C1_C_0402_1005Metric",72.955400,-21.779800,-4.670000,bottom
"L-CL11B","4.7n","C1_C_0402_1005Metric",84.640600,-36.883900,-4.670000,bottom
"L-CL12A","100n","C1_C_0402_1005Metric",91.897600,-23.762900,0.604000,bottom
"L-CL12B","4.7n","C1_C_0402_1005Metric",103.582800,-38.867100,0.604000,bottom
"L-CL13A","100n","C1_C_0402_1005Metric",111.017700,-26.364500,2.942000,bottom
"L-CL13B","4.7n","C1_C_0402_1005Metric",121.896400,-42.059500,2.942000,bottom
"L-CL14A","100n","C1_C_0402_1005Metric",129.830200,-29.354300,4.000000,bottom
"L-CL14B","4.7n","C1_C_0402_1005Metric",140.709000,-45.049400,4.000000,bottom
"L-CL15A","100n","C1_C_0402_1005Metric",11.497000,-40.725000,0.000000,bottom
"L-CL15B","4.7n","C1_C_0402_1005Metric",24.697000,-54.525000,0.000000,bottom
"L-CL16A","100n","C1_C_0402_1005Metric",37.691000,-39.475000,0.000000,bottom
"L-CL16B","4.7n","C1_C_0402_1005Metric",50.891000,-54.525000,0.000000,bottom
"L-CL17A","100n","C1_C_0402_1005Metric",58.324500,-40.600300,-3.000000,bottom
"L-CL17B","4.7n","C1_C_0402_1005Metric",70.784200,-55.072200,-3.000000,bottom
"L-CL18A","100n","C1_C_0402_1005Metric",77.916100,-41.342700,-3.796000,bottom
"L-CL18B","4.7n","C1_C_0402_1005Metric",89.601400,-56.446900,-3.796000,bottom
"L-CL19A","100n","C1_C_0402_1005Metric",96.827300,-43.248900,-1.262000,bottom
"L-CL19B","4.7n","C1_C_0402_1005Metric",107.706000,-58.943900,-1.262000,bottom
"L-CL20A","100n","C1_C_0402_1005Metric",115.630900,-46.228300,3.536000,bottom
"L-CL20B","4.7n","C1_C_0402_1005Metric",126.509600,-61.923200,3.536000,bottom
"L-CL21A","100n","C1_C_0402_1005Metric",11.497000,-59.775000,0.000000,bottom
"L-CL21B","4.7n","C1_C_0402_1005Metric",24.697000,-73.575000,0.000000,bottom
"L-CL22A","100n","C1_C_0402_1005Metric",42.453000,-59.775000,0.000000,bottom
"L-CL22B","4.7n","C1_C_0402_1005Metric",55.653000,-73.575000,0.000000,bottom
"L-CL23A","100n","C1_C_0402_1005Metric",61.719100,-59.912400,-2.940000,bottom
"L-CL23B","4.7n","C1_C_0402_1005Metric",74.178800,-74.384400,-2.940000,bottom
